Episode,User_Mean,User_Density,User_WordCount,Asst_Mean,Asst_Density,Asst_WordCount,Overall_Mean,StandardDeviation,Density,WordCount
Episode-1,-0.0093,-0.0064,151,-0.015,-0.0103,540,-0.0138,0.7029343784618516,-0.0094,691
Episode-100,0.0562,0.039,320,-0.0185,-0.0117,264,0.0241,0.6545313654954782,0.0161,584
Episode-1029,-0.0925,-0.0648,742,-0.049,-0.0359,2855,-0.0577,0.5208912891292272,-0.0419,3597
Episode-1030,-0.0449,-0.0319,474,-0.041,-0.0296,1424,-0.042,0.6124629010061504,-0.0302,1898
Episode-1032,-0.0806,-0.0563,554,-0.084,-0.0584,1527,-0.0831,0.4521639418018861,-0.0579,2081
Episode-1033,-0.0329,-0.024,533,-0.0416,-0.0317,2544,-0.0402,0.5582105886925157,-0.0303,3077
Episode-1034,-0.0288,-0.02,610,-0.0323,-0.0228,1177,-0.0311,0.6825463797099992,-0.0218,1787
Episode-1035,-0.1074,-0.0779,357,-0.0667,-0.048,645,-0.0813,0.5051537407156198,-0.0587,1002
Episode-1040,-0.0098,-0.0065,164,-0.0859,-0.0599,604,-0.0704,0.6171538052906861,-0.0485,768
Episode-1044,-0.1294,-0.0968,262,-0.0695,-0.0483,595,-0.0887,0.5730493472547384,-0.0632,857
Episode-105,-0.0098,-0.0069,175,-0.0066,-0.0046,698,-0.0073,0.7293269859849194,-0.0051,873
Episode-1056,-0.0615,-0.0406,324,-0.1262,-0.0806,443,-0.0984,0.6045255735793507,-0.0637,767
Episode-1068,-0.0759,-0.0568,360,-0.0303,-0.0224,414,-0.0517,0.6775241837325762,-0.0384,774
Episode-1079,-0.2938,-0.2014,70,-0.1112,-0.0494,18,-0.2677,0.6928307967945803,-0.1703,88
Episode-108,-0.0745,-0.0517,183,-0.0005,-0.0003,654,-0.0166,0.633161091665768,-0.0116,837
Episode-1080,-0.0014,-0.001,251,0.0783,0.0598,321,0.045,0.6189482716780408,0.0331,572
Episode-1084,0.0914,0.0649,445,0.0143,0.0099,604,0.0473,0.620764380439675,0.0333,1049
Episode-109,-0.0327,-0.0211,149,0.0003,0.0002,515,-0.0071,0.6212889036485321,-0.0046,664
Episode-1095,-0.1569,-0.0953,79,-0.2333,-0.175,4,-0.1614,0.705864065122579,-0.0992,83
Episode-1096,-0.06,-0.0368,75,0.0016,0.001,575,-0.0053,0.6557077388250232,-0.0034,650
Episode-1110,-0.0045,-0.0033,301,-0.0116,-0.0085,473,-0.0089,0.5153929417338236,-0.0065,774
Episode-1113,-0.0219,-0.0138,224,-0.0101,-0.0073,456,-0.0137,0.6127840371513049,-0.0094,680
Episode-1114,0.001,0.0006,312,-0.0333,-0.0239,951,-0.0257,0.5786183019354278,-0.0178,1263
Episode-112,-0.0717,-0.0494,286,-0.0353,-0.0257,837,-0.0442,0.5801172588007072,-0.0318,1123
Episode-113,-0.0759,-0.0514,328,-0.0018,-0.0013,477,-0.0309,0.6344353087978272,-0.0217,805
Episode-115,-0.0427,-0.0293,455,-0.0994,-0.0708,930,-0.0813,0.6116092925524134,-0.0571,1385
Episode-116,-0.1968,-0.1171,158,-0.0206,-0.0146,478,-0.0588,0.6769346406082802,-0.04,636
Episode-1160,-0.0399,-0.0281,594,-0.063,-0.0427,893,-0.0536,0.502290803964508,-0.0369,1487
