Episode,MeanAnxiety,Density,WordCount,AnxietyHits,StandardDeviation
Episode-1,-0.0161,-0.0111,701,483,0.6960179057050679
Episode-100,0.0182,0.0123,600,406,0.6426093628047015
Episode-1029,-0.0589,-0.0429,3646,2660,0.5164217492240175
Episode-1030,-0.0438,-0.0317,1931,1398,0.605610046673825
Episode-1032,-0.0841,-0.0591,2122,1491,0.44642636548953324
Episode-1033,-0.0415,-0.0315,3116,2362,0.5539116041592695
Episode-1034,-0.0328,-0.0232,1812,1279,0.6761752885592516
Episode-1035,-0.083,-0.0607,1035,756,0.4947480496606832
Episode-1040,-0.0717,-0.0498,783,544,0.608970053661619
Episode-1044,-0.0894,-0.064,869,622,0.5677735589430857
Episode-105,-0.0103,-0.0073,889,627,0.7204630525602317
Episode-1056,-0.0995,-0.0657,794,524,0.5894182746327635
Episode-1068,-0.0541,-0.0406,794,595,0.6665464907386348
Episode-1079,-0.2583,-0.1675,91,59,0.6764413794271354
Episode-108,-0.0191,-0.0134,851,597,0.6261889993180232
Episode-1080,0.0372,0.0277,593,442,0.6056539445313341
Episode-1084,0.0441,0.0312,1063,751,0.6156223800911266
Episode-109,-0.0097,-0.0064,674,441,0.6147286307183527
Episode-1095,-0.157,-0.0986,86,54,0.686406089248262
Episode-1096,-0.0059,-0.0037,653,416,0.6534436830326492
Episode-1110,-0.0121,-0.0089,790,579,0.5089914230483801
Episode-1113,-0.015,-0.0104,687,477,0.6085506347539683
Episode-1114,-0.0279,-0.0195,1284,897,0.5722910369525894
Episode-112,-0.0461,-0.0334,1143,827,0.5735155542761324
Episode-113,-0.0328,-0.0232,818,578,0.6276515977024555
Episode-115,-0.0821,-0.0581,1405,994,0.6057097704315653
Episode-116,-0.0609,-0.0419,650,447,0.666693268999037
Episode-1160,-0.0563,-0.0393,1530,1067,0.492880099635792
Episode-1161,-0.109,-0.0764,808,566,0.6220630328982665
Episode-1167,-0.0131,-0.0091,845,586,0.6769774266251216
Episode-1168,-0.04,-0.0278,1423,989,0.6007945985902591
Episode-1170,-0.127,-0.0903,1247,886,0.5912079878315638
Episode-1174,-0.0996,-0.07,1845,1297,0.6139493574789662
Episode-1180,-0.019,-0.0135,753,534,0.5677474229549331
Episode-1183,-0.0535,-0.0408,1311,1001,0.6552074192481051
Episode-1185,-0.0849,-0.059,979,680,0.6662545529293907
Episode-1191,-0.0752,-0.0549,978,714,0.5107048038531923
Episode-1196,0.034,0.0255,848,636,0.6038299220013077
Episode-120,-0.0537,-0.0381,947,672,0.6735810277124704
Episode-1203,-0.0104,-0.0079,800,607,0.5690900742370065
Episode-1207,-0.0603,-0.0439,1559,1135,0.5841649245445419
Episode-1219,-0.0541,-0.0386,2615,1864,0.5770489767164406
Episode-1229,-0.0756,-0.0556,1439,1058,0.42738460815252094
Episode-123,-0.0613,-0.0442,854,616,0.45104798458087286
Episode-1232,-0.113,-0.0826,2109,1542,0.513586540147446
Episode-1242,-0.09,-0.0642,742,529,0.619877798318737
Episode-1243,-0.2351,-0.1756,779,582,0.8091758028309719
Episode-1249,-0.0559,-0.0414,803,595,0.7279233749538508
Episode-125,-0.021,-0.0144,725,496,0.59742960337373
Episode-1250,0.0339,0.0243,763,546,0.7000862209800516
Episode-1253,-0.1077,-0.0787,1007,736,0.5965899194113257
Episode-1262,-0.0339,-0.0243,858,615,0.5886420598208946
Episode-1269,-0.0664,-0.043,698,452,0.575468231033027
Episode-1270,-0.0664,-0.043,698,452,0.575468231033027
Episode-1274,-0.0459,-0.0317,772,534,0.6294732878755293
Episode-1277,-0.0979,-0.0725,1075,796,0.5761324326983797
Episode-1278,-0.0336,-0.025,409,304,0.42698273566648415
Episode-1281,0.0601,0.0419,1078,752,0.5941051851400425
Episode-1282,-0.013,-0.0096,900,662,0.637855567175937
Episode-1283,-0.0035,-0.0025,1227,872,0.7087779544288275
Episode-1284,-0.0618,-0.0448,958,694,0.45447333176997473
Episode-1288,-0.1397,-0.0868,177,110,0.5146771662779558
Episode-130,-0.0164,-0.012,681,501,0.7196204394306122
Episode-1300,-0.0591,-0.0423,802,574,0.5442619077205909
Episode-131,-0.0359,-0.0246,696,478,0.6127981639844599
Episode-1312,-0.0414,-0.0287,772,535,0.5706531650906358
Episode-1317,-0.0443,-0.0287,1413,916,0.5539180797743166
Episode-1318,-0.0766,-0.0557,832,605,0.5156702083489656
Episode-1325,-0.071,-0.051,593,426,0.5807740594645397
Episode-1328,-0.0746,-0.0532,1572,1121,0.6027888206792861
Episode-1329,-0.0172,-0.0118,1215,834,0.6466985863456539
Episode-1330,0.0219,0.0146,727,486,0.7136726502627531
