Episode,User_Mean,User_Density,User_WordCount,Asst_Mean,Asst_Density,Asst_WordCount,Overall_Mean,StandardDeviation,Density,WordCount
DM_20250306-135826_Interview,-0.0966,-0.061,1448,-0.161,-0.1135,1329,-0.1292,0.6743812910492768,-0.0861,2777
DM_20250312-145103_Interview,-0.0021,-0.0013,1010,-0.1397,-0.0995,1269,-0.0817,0.715900673536939,-0.056,2279
DM_20250312-151613_Interview,-0.0977,-0.0628,1176,-0.16,-0.1142,1379,-0.133,0.6902819128285085,-0.0905,2555
DM_20250312-154300_Interview,-0.0166,-0.0108,1022,-0.1407,-0.1008,1430,-0.0918,0.649063238814657,-0.0633,2452
DM_20250312-160921_Interview,-0.2083,-0.1389,2579,-0.2004,-0.1401,3029,-0.2039,0.7850425877231848,-0.1396,5608
DM_20250312-172958_Interview,-0.0312,-0.0193,1149,-0.0956,-0.0691,1325,-0.0682,0.7082341086731304,-0.046,2474
DM_20250312-175504_Interview,-0.0946,-0.0599,982,-0.0894,-0.062,967,-0.0919,0.7298548620819397,-0.0609,1949
DM_20250312-182025_Interview,-0.1152,-0.0718,983,-0.1584,-0.1123,1230,-0.1405,0.7188590925913264,-0.0943,2213
DM_20250312-184417_Interview,-0.0616,-0.0386,1346,-0.1247,-0.0851,1673,-0.0979,0.6589195776120046,-0.0644,3019
DM_20250312-191602_Interview,-0.0852,-0.0533,847,-0.1647,-0.1122,1211,-0.1336,0.6947256286368375,-0.088,2058
DM_20250312-193915_Interview,-0.0764,-0.0461,794,-0.1611,-0.1117,1349,-0.1324,0.6112261193660791,-0.0874,2143
DM_20250312-200847_Interview,-0.0106,-0.0067,1008,-0.1485,-0.1035,1367,-0.0933,0.6828757336854537,-0.0624,2375
DM_20250312-203320_Interview,-0.1532,-0.0954,1323,-0.141,-0.0984,1750,-0.1459,0.6670293583281041,-0.0971,3073
DM_20250312-210855_Interview,-0.0694,-0.0439,1389,-0.1211,-0.0844,1814,-0.0999,0.6488522345808034,-0.0668,3203
DM_20250312-214238_Interview,-0.0647,-0.0389,1062,-0.1393,-0.0976,1693,-0.1132,0.6318472464625392,-0.075,2755
DM_20250312-221351_Interview,-0.2011,-0.1275,2707,-0.1869,-0.1227,3167,-0.1933,0.7474815620344702,-0.1249,5874
DM_20250312-233210_Interview,-0.0699,-0.0419,869,-0.1496,-0.1017,1211,-0.1187,0.6095818268843046,-0.0767,2080
DM_20250312-235953_Interview,-0.0281,-0.0172,800,-0.1667,-0.1129,1009,-0.1088,0.6568487503048916,-0.0706,1809
DM_20250313-002255_Interview,-0.0663,-0.0411,1487,-0.1466,-0.1029,1471,-0.1087,0.7015134607080022,-0.0718,2958
DM_20250313-005318_Interview,-0.0579,-0.0373,1206,-0.1465,-0.1044,1322,-0.1065,0.6986850677289912,-0.0724,2528
DM_20250313-012001_Interview,-0.0496,-0.0325,1404,-0.1567,-0.111,1336,-0.1039,0.7256959519555534,-0.0708,2740
DM_20250313-014758_Interview,-0.1098,-0.0714,1123,-0.1749,-0.1222,1282,-0.1457,0.7397392136364703,-0.0985,2405
DM_20250313-021315_Interview,-0.0959,-0.0628,1204,-0.1172,-0.086,1308,-0.1076,0.6284122897614253,-0.0749,2512
DM_20250313-024039_Interview,-0.0941,-0.0598,2101,-0.1321,-0.0951,1961,-0.1136,0.6281214525257987,-0.0769,4062
DM_20250313-032536_Interview,-0.05,-0.0321,1213,-0.1132,-0.0789,1281,-0.0837,0.6910405132844473,-0.0561,2494
DM_20250313-035214_Interview,-0.0636,-0.04,1188,-0.1331,-0.0928,1338,-0.1022,0.7191616523397469,-0.0679,2526
DM_20250313-041904_Interview,-0.0999,-0.0617,853,-0.1385,-0.0961,1142,-0.1231,0.691337917759419,-0.0814,1995
DM_20250313-044329_Interview,-0.1228,-0.0785,1396,-0.1645,-0.1168,1394,-0.1447,0.6832970822437708,-0.0976,2790
DM_20250313-051233_Interview,-0.0508,-0.0327,1345,-0.1649,-0.1137,1439,-0.1117,0.7216696025016475,-0.0745,2784
DM_20250313-054006_Interview,-0.025,-0.0157,1151,-0.129,-0.091,1437,-0.0857,0.6831236528175885,-0.0575,2588
DM_20250313-060648_Interview,-0.0793,-0.0483,1271,-0.158,-0.1119,1548,-0.1254,0.6661674259579097,-0.0832,2819
DM_20250313-063540_Interview,-0.1261,-0.0794,875,-0.1447,-0.104,1243,-0.1376,0.65783552372403,-0.0938,2118
DM_20250313-070020_Interview,-0.0412,-0.0252,826,-0.122,-0.0853,1160,-0.091,0.6342225653899987,-0.0603,1986
DM_20250313-072430_Interview,-0.1291,-0.0855,1406,-0.1602,-0.1166,1583,-0.1463,0.6857160410951371,-0.102,2989
DM_20250313-075457_Interview,-0.0817,-0.0506,977,-0.15,-0.1039,1333,-0.1229,0.662284128441853,-0.0813,2310
DM_20250313-082054_Interview,-0.0798,-0.0508,1092,-0.1473,-0.1046,1293,-0.1182,0.651371708817372,-0.0799,2385
DM_20250313-084757_Interview,-0.0929,-0.0599,1257,-0.1195,-0.0837,1476,-0.1078,0.7749739068220988,-0.0728,2733
DM_20250313-091611_Interview,-0.0667,-0.0428,1275,-0.1741,-0.1246,1603,-0.1294,0.6881314245057463,-0.0883,2878
DM_20250313-094834_Interview,-0.0208,-0.0135,1141,-0.1379,-0.1002,1311,-0.0866,0.6756978922681037,-0.0598,2452
DM_20250313-101443_Interview,-0.1009,-0.0656,990,-0.1389,-0.0993,1297,-0.1233,0.6765870487252552,-0.0847,2287
