Episode,MeanAnxiety,Density,WordCount,AnxietyHits,StandardDeviation
DM_20250306-135826_Interview,-0.1143,-0.0782,3211,2196,0.657633206673436
DM_20250312-145103_Interview,-0.0639,-0.0454,2870,2037,0.7308542381076294
DM_20250312-151613_Interview,-0.1311,-0.0918,3196,2238,0.716816895418525
DM_20250312-154300_Interview,-0.0817,-0.0576,2987,2106,0.6806694036137022
DM_20250312-160921_Interview,-0.173,-0.1216,24092,16924,0.7623726020171483
DM_20250312-172958_Interview,-0.0626,-0.0436,3161,2203,0.7441113823122468
DM_20250312-175504_Interview,-0.1184,-0.0824,5195,3616,0.7616695672789127
DM_20250312-182025_Interview,-0.1096,-0.0747,2732,1861,0.7238558005288125
DM_20250312-184417_Interview,-0.0896,-0.0607,3895,2640,0.6863861017362601
DM_20250312-191602_Interview,-0.1186,-0.0811,2692,1842,0.6982687638701299
DM_20250312-193915_Interview,-0.1542,-0.1058,4606,3159,0.6844149963567038
DM_20250312-200847_Interview,-0.0935,-0.0642,3013,2068,0.6904834694779225
DM_20250312-203320_Interview,-0.1505,-0.1032,4095,2807,0.7059466534908825
DM_20250312-210855_Interview,-0.0982,-0.0677,4025,2772,0.6847964367976919
DM_20250312-214238_Interview,-0.1153,-0.0781,3480,2355,0.6604688631658887
DM_20250312-221351_Interview,-0.1578,-0.1086,26169,18016,0.7347556258032714
DM_20250312-233210_Interview,-0.1205,-0.0812,3387,2283,0.6272121379845008
DM_20250312-235953_Interview,-0.0897,-0.0605,2475,1670,0.6988283035713706
DM_20250313-002255_Interview,-0.0933,-0.0633,3604,2445,0.7170219832295578
DM_20250313-005318_Interview,-0.099,-0.0692,3329,2327,0.7311498634813632
DM_20250313-012001_Interview,-0.0884,-0.0617,3329,2324,0.7249710769030263
DM_20250313-014758_Interview,-0.1332,-0.0921,2879,1991,0.7350694055571702
DM_20250313-021315_Interview,-0.1154,-0.0818,3211,2277,0.6407880483011786
DM_20250313-024039_Interview,-0.1163,-0.0806,5134,3559,0.6418318988629753
DM_20250313-032536_Interview,-0.086,-0.0585,3376,2296,0.700507538103304
DM_20250313-035214_Interview,-0.1047,-0.0714,3386,2310,0.7531768682142789
DM_20250313-041904_Interview,-0.1155,-0.0793,2576,1768,0.7161337952413923
DM_20250313-044329_Interview,-0.1312,-0.0907,3506,2422,0.6985222523054477
DM_20250313-051233_Interview,-0.1033,-0.0706,3505,2396,0.7486725218633452
DM_20250313-054006_Interview,-0.0641,-0.0441,3154,2172,0.6949479475473483
DM_20250313-060648_Interview,-0.1293,-0.088,3669,2499,0.6849826414315073
DM_20250313-063540_Interview,-0.1268,-0.0889,2627,1841,0.6591484437350235
DM_20250313-070020_Interview,-0.1035,-0.0705,3474,2368,0.7050806317930571
DM_20250313-072430_Interview,-0.1349,-0.0952,3391,2394,0.679330694239971
DM_20250313-075457_Interview,-0.1142,-0.0783,2992,2050,0.6832534484303658
DM_20250313-082054_Interview,-0.1105,-0.0769,3065,2132,0.6714823816519986
DM_20250313-084757_Interview,-0.0895,-0.0617,3375,2327,0.7869557262514086
DM_20250313-091611_Interview,-0.13,-0.0914,4361,3066,0.7378731394630932
DM_20250313-094834_Interview,-0.0786,-0.0558,3218,2284,0.7113001976955939
DM_20250313-101443_Interview,-0.1137,-0.0807,2945,2089,0.7140921411299016
DM_20250313-103940_Interview,-0.0975,-0.068,3640,2541,0.6956163016751854
DM_20250313-111105_Interview,-0.1678,-0.1205,18775,13487,0.7366735627445254
DM_20250313-122155_Interview,-0.1033,-0.0701,3097,2101,0.6803171213476069
DM_20250313-124733_Interview,-0.0828,-0.055,2576,1712,0.7062636671367802
DM_20250313-131405_Interview,-0.0918,-0.0631,2909,2000,0.7148506790558944
DM_20250313-133910_Interview,-0.1292,-0.0929,5044,3625,0.7912289005710553
DM_20250313-141135_Interview,-0.1581,-0.1167,26114,19272,0.8657656224133319
DM_20250313-153233_Interview,-0.1136,-0.0783,3747,2584,0.65769955279671
DM_20250313-160541_Interview,0.0204,0.0142,33012,22915,0.9314264028071199
DM_20250313-174338_Interview,-0.12,-0.0819,2850,1945,0.6894619029549227
DM_20250313-181027_Interview,-0.0985,-0.0669,3053,2073,0.7433905950240954
DM_20250313-183641_Interview,-0.1135,-0.0799,3020,2126,0.7610158356125142
DM_20250313-190204_Interview,-0.1281,-0.0886,4433,3067,0.7261888788734541
DM_20250313-192932_Interview,-0.099,-0.0689,3522,2453,0.7401217245666596
DM_20250313-195826_Interview,-0.0927,-0.064,3393,2342,0.707764163800175
DM_20250313-202652_Interview,-0.105,-0.0718,2842,1943,0.7711286718876224
DM_20250313-205138_Interview,-0.1113,-0.0753,3050,2063,0.7065490110075031
DM_20250313-211714_Interview,-0.12,-0.0832,3399,2357,0.6839217964117157
DM_20250313-214541_Interview,-0.1123,-0.0769,3123,2138,0.6874318117559708
DM_20250313-221216_Interview,-0.0908,-0.0635,3144,2198,0.7500905187572539
DM_20250313-224032_Interview,-0.126,-0.0848,2883,1941,0.6865534178285874
DM_20250313-230546_Interview,-0.0881,-0.0608,3121,2154,0.6942049430616101
DM_20250313-233249_Interview,-0.1126,-0.0802,3105,2212,0.6977539016454797
DM_20250313-235756_Interview,-0.0808,-0.0555,2517,1729,0.6986148527409636
DM_20250314-002211_Interview,-0.1049,-0.0715,349,238,0.5412851885612733
DM_20250314-002504_Interview,-0.1105,-0.075,2561,1739,0.6855452309402233
DM_20250314-004854_Interview,-0.1274,-0.0882,2985,2066,0.68604516361797
DM_20250314-011648_Interview,-0.1053,-0.0744,511,361,0.5414758638306154
DM_20250314-011956_Interview,-0.0867,-0.0617,3873,2757,0.7494998653560386
DM_20250314-014924_Interview,-0.0904,-0.061,3077,2075,0.6841092113927647
DM_20250314-021754_Interview,-0.1048,-0.0727,3595,2494,0.6752813686415691
DM_20250314-024748_Interview,-0.1374,-0.098,24113,17199,0.7989692917146575
DM_20250314-040713_Interview,-0.124,-0.0855,4050,2792,0.6400466359303323
DM_20250314-044002_Interview,-0.0765,-0.0529,3527,2440,0.5892203154785186
DM_20250314-051050_Interview,-0.1175,-0.0803,2617,1788,0.6335431560506857
DM_20250314-053644_Interview,-0.1499,-0.1023,3870,2642,0.7255840405602042
DM_20250314-060900_Interview,-0.1107,-0.0779,3374,2375,0.7444459686382215
DM_20250314-063629_Interview,-0.102,-0.0702,3240,2230,0.6747810769707316
DM_20250314-070638_Interview,-0.1119,-0.0777,2663,1849,0.7113438529358765
DM_20250314-073008_Interview,-0.1157,-0.0829,3586,2569,0.668922868851083
DM_20250314-080238_Interview,-0.0905,-0.063,3094,2154,0.7409280712803132
DM_20250314-082733_Interview,-0.1154,-0.0782,2725,1846,0.686823667172198
DM_20250314-085203_Interview,-0.1188,-0.0812,2762,1887,0.7498387230657626
DM_20250314-091639_Interview,-0.2098,-0.1499,30599,21867,0.8468319656408687
DM_20250314-104714_Interview,-0.1052,-0.0716,2380,1619,0.6632855469089233
DM_20250314-110933_Interview,-0.105,-0.0719,3712,2543,0.681628301920743
DM_20250314-113658_Interview,-0.0778,-0.0544,3352,2345,0.7202347372166714
DM_20250314-120656_Interview,-0.0744,-0.051,3069,2103,0.7112970306689929
DM_20250314-123247_Interview,-0.0954,-0.0674,3321,2347,0.691479540503902
DM_20250314-125859_Interview,-0.1027,-0.0729,4269,3030,0.6695707405993032
DM_20250314-133750_Interview,-0.0858,-0.0594,2931,2028,0.7239717228750262
DM_20250314-140141_Interview,-0.0612,-0.0424,3424,2373,0.7203361190788111
DM_20250314-142822_Interview,-0.0861,-0.0588,3208,2191,0.6631802370845867
DM_20250314-145625_Interview,-0.1373,-0.0963,2810,1972,0.6424389577741553
DM_20250425-171549_Interview,-0.1167,-0.0817,3058,2141,0.7295173008779335
DM_20250425-174256_Interview,-0.1214,-0.0855,3080,2169,0.7273738011810132
DM_20250425-180816_Interview,-0.1236,-0.0838,3046,2065,0.6456309486434182
DM_20250425-183356_Interview,-0.0908,-0.0615,2919,1976,0.7123494692821155
DM_20250425-185948_Interview,-0.1248,-0.0861,2923,2018,0.7929802099321636
DM_20250425-192409_Interview,-0.1231,-0.0837,2850,1938,0.7352412230487605
DM_20250425-194845_Interview,-0.0828,-0.0569,3023,2077,0.6770068616974948
DM_20250425-201459_Interview,-0.0959,-0.0675,5139,3614,0.6647846215564366
DM_20250425-203858_Interview,-0.1081,-0.0731,383,259,0.5078476125469752
DM_20250425-204153_Interview,-0.1218,-0.0827,7439,5052,0.7945240572434591
DM_20250425-211126_Interview,-0.152,-0.1057,2928,2036,0.6926970334935411
DM_20250425-213754_Interview,-0.0975,-0.0669,3714,2550,0.6861848453006831
DM_20250425-220909_Interview,-0.1248,-0.0854,2173,1486,0.6877253327408079
DM_20250425-222213_Interview,-0.0765,-0.0538,3504,2461,0.7365655589567943
DM_20250425-225043_Interview,-0.2338,-0.1658,94840,67256,0.7798432825526445
DM_20250426-015117_Interview,-0.1044,-0.0726,3132,2179,0.6714732050436325
DM_20250426-021712_Interview,-0.115,-0.0776,2747,1855,0.6788756533413419
DM_20250426-024233_Interview,-0.104,-0.0716,6581,4535,0.7661044152834725
DM_20250426-031055_Interview,-0.1101,-0.0756,3060,2101,0.7571819247211984
DM_20250426-033515_Interview,-0.1135,-0.0793,3257,2277,0.7333488922388434
DM_20250426-040206_Interview,-0.0919,-0.0624,1126,765,0.5479363524286701
DM_20250426-041435_Interview,-0.12,-0.0831,4167,2886,0.673858107236355
DM_20250426-044926_Interview,-0.0946,-0.0647,2765,1891,0.62803554862124
DM_20250426-051418_Interview,-0.1028,-0.0719,3127,2188,0.7337168338163281
DM_20250426-054045_Interview,-0.0896,-0.0653,14877,10848,0.6560371741114546
DM_20250426-065703_Interview,-0.0892,-0.0615,3382,2331,0.6726924533486446
DM_20250426-072813_Interview,-0.1083,-0.075,2885,1998,0.6421372764597342
DM_20250426-075428_Interview,-0.0864,-0.0592,2855,1957,0.7186210261635451
DM_20250426-080834_Interview,-0.1315,-0.0929,6607,4667,0.7753861757318509
DM_20250426-082857_Interview,-0.0889,-0.0603,3582,2432,0.7105089051137963
DM_20250426-085818_Interview,-0.1873,-0.1314,355,249,0.6323475940693956
DM_20250426-090112_Interview,-0.1131,-0.0783,2905,2010,0.6607923826992034
DM_20250426-092820_Interview,-0.1127,-0.0818,9700,7037,0.7190144719228682
DM_20250426-100032_Interview,-0.1133,-0.079,5229,3648,0.7297590389071679
DM_20250426-102610_Interview,-0.1364,-0.0965,4751,3361,0.7216760150532674
DM_20250426-110108_Interview,-0.1028,-0.0711,2798,1937,0.7069744830824883
DM_20250426-112538_Interview,-0.1162,-0.0797,2998,2056,0.6575361014503599
DM_20250426-115019_Interview,-0.1045,-0.0718,3268,2244,0.7309819149376562
DM_20250426-121559_Interview,-0.0984,-0.0667,3099,2101,0.60693448508633
DM_20250426-124359_Interview,-0.0905,-0.0637,3730,2626,0.7252334970391107
