Episode,User_Mean,User_Density,User_WordCount,Asst_Mean,Asst_Density,Asst_WordCount,Overall_Mean,StandardDeviation,Density,WordCount
300_P,0,0,0,0,0,0,-0.1667,0.673424204706595,-0.1142,911
301_P,0,0,0,0,0,0,-0.0987,0.6333320492109874,-0.0672,1994
302_P,0,0,0,0,0,0,-0.1623,0.6732884809188963,-0.1143,1203
303_P,0,0,0,0,0,0,-0.1449,0.6566115257158514,-0.0982,2600
304_P,0,0,0,0,0,0,-0.1604,0.7000923160743613,-0.1123,1755
305_P,0,0,0,0,0,0,-0.0915,0.6254957132093868,-0.0605,3929
306_P,0,0,0,0,0,0,-0.1246,0.7406324265610201,-0.0878,2120
307_P,0,0,0,0,0,0,-0.1114,0.668771335903497,-0.0772,3333
308_P,0,0,0,0,0,0,-0.1438,0.6881162551735958,-0.0989,1425
309_P,0,0,0,0,0,0,-0.1499,0.7202613543335266,-0.108,555
310_P,0,0,0,0,0,0,-0.1071,0.584650786442535,-0.0708,1445
311_P,0,0,0,0,0,0,-0.1226,0.6461156827824781,-0.0825,1322
312_P,0,0,0,0,0,0,-0.1353,0.6186485109642055,-0.092,1422
313_P,0,0,0,0,0,0,-0.1499,0.6596668806044375,-0.1076,1106
314_P,0,0,0,0,0,0,-0.112,0.7043349658322607,-0.0762,3770
315_P,0,0,0,0,0,0,-0.1061,0.6119017445373917,-0.0685,1409
316_P,0,0,0,0,0,0,-0.1885,0.6796442172333879,-0.1281,967
317_P,0,0,0,0,0,0,-0.1115,0.6705526940177725,-0.0801,1209
318_P,0,0,0,0,0,0,-0.1214,0.609244322872399,-0.0831,977
319_P,0,0,0,0,0,0,-0.1017,0.6473003371193844,-0.0694,1279
320_P,0,0,0,0,0,0,-0.1137,0.7539711089660409,-0.0758,1549
321_P,0,0,0,0,0,0,-0.1402,0.6983515500390539,-0.0964,1577
322_P,0,0,0,0,0,0,-0.1355,0.6706465139429911,-0.0953,1705
323_P,0,0,0,0,0,0,-0.1847,0.7163140278744919,-0.1282,1980
324_P,0,0,0,0,0,0,-0.1082,0.6652001814215042,-0.0727,1264
325_P,0,0,0,0,0,0,-0.1144,0.7066069795463717,-0.0774,2310
326_P,0,0,0,0,0,0,-0.1715,0.6966905283738536,-0.1189,1260
327_P,0,0,0,0,0,0,-0.1822,0.7404771711209576,-0.1239,1254
328_P,0,0,0,0,0,0,-0.1405,0.6999862326502913,-0.0989,2389
329_P,0,0,0,0,0,0,-0.2082,0.7108880360481462,-0.1463,1549
330_P,0,0,0,0,0,0,-0.0788,0.639294950426888,-0.0549,865
331_P,0,0,0,0,0,0,-0.093,0.6552890027537026,-0.062,1981
332_P,0,0,0,0,0,0,-0.0899,0.6174805639615282,-0.061,1363
333_P,0,0,0,0,0,0,-0.1548,0.6809107083827219,-0.1063,1758
334_P,0,0,0,0,0,0,-0.1448,0.6170981404859402,-0.1003,2119
335_P,0,0,0,0,0,0,-0.1253,0.6999171352864312,-0.0859,1869
336_P,0,0,0,0,0,0,-0.1426,0.6574901972633657,-0.0963,1746
