Episode,MeanAnxiety,Density,WordCount,AnxietyHits,StandardDeviation
DM_20250915-224221_Interview,-0.0758,-0.0495,3907,2550,0.7259232394923014
DM_20250915-230323_Interview,-0.1037,-0.0695,4105,2752,0.6688692870128203
DM_20250916-015946_Interview,-0.0889,-0.0599,3956,2668,0.6530976392928823
DM_20250923-112525_Interview,-0.1124,-0.0741,3606,2377,0.7827614478784202
DM_20250923-184922_Interview,-0.0868,-0.0578,3692,2459,0.672699284745246
DM_20250923-203216_Interview,-0.0872,-0.0582,3896,2601,0.6634544543530602
DM_20250923-205639_Interview,-0.0778,-0.0529,5034,3418,0.6522599670218546
DM_20250924-000252_Interview,-0.0808,-0.0544,4344,2926,0.6696919473669566
DM_20250924-003039_Interview,-0.112,-0.0766,3835,2623,0.6227063395513718
DM_20250924-005653_Interview,-0.0819,-0.0552,4234,2853,0.6623600149395793
DM_20250924-032347_Interview,-0.072,-0.0496,4240,2921,0.6547427027861097
DM_20250924-041316_Interview,-0.0766,-0.0525,3504,2402,0.7231384206570025
DM_20250924-084733_Interview,-0.0723,-0.0488,6030,4072,0.6920177007907017
DM_20250924-091849_Interview,-0.0778,-0.0532,4185,2865,0.7079155309455039
DM_20250924-173111_Interview,-0.1151,-0.0768,3999,2670,0.6928148454950428
DM_20251106-140348_Interview,-0.0485,-0.0331,5812,3966,0.7961606678555184
DM_20251107-103322_Interview,-0.0863,-0.0587,4828,3286,0.7075560783603222
