Episode,User_Mean,User_Density,User_WordCount,Asst_Mean,Asst_Density,Asst_WordCount,Overall_Mean,StandardDeviation,Density,WordCount
DM_20250915-224221_Interview,-0.057,-0.0326,1436,-0.1246,-0.0861,1336,-0.0928,0.7124686184914443,-0.0584,2772
DM_20250915-230323_Interview,-0.0813,-0.0513,1266,-0.1679,-0.1134,1184,-0.1246,0.707975188672882,-0.0813,2450
DM_20250916-015946_Interview,-0.0554,-0.0346,1458,-0.1441,-0.1011,1371,-0.101,0.6451858834386693,-0.0668,2829
DM_20250923-112525_Interview,-0.1273,-0.0779,1792,-0.144,-0.1012,1221,-0.1346,0.7834229795897532,-0.0873,3013
DM_20250923-184922_Interview,-0.0792,-0.0466,1261,-0.1013,-0.0711,1010,-0.09,0.6490896011316911,-0.0575,2271
DM_20250923-203216_Interview,-0.1059,-0.0641,1513,-0.1194,-0.0829,1361,-0.1127,0.6847636840793909,-0.073,2874
DM_20250923-205639_Interview,-0.0033,-0.002,1166,-0.1429,-0.0982,1244,-0.0786,0.6985876311592502,-0.0517,2410
DM_20250924-000252_Interview,-0.0664,-0.0404,1652,-0.1269,-0.0882,1367,-0.0958,0.7076285238656829,-0.0621,3019
DM_20250924-003039_Interview,-0.1247,-0.0754,1088,-0.1303,-0.0898,1349,-0.1279,0.622694971937336,-0.0834,2437
DM_20250924-005653_Interview,-0.0769,-0.0474,1609,-0.0996,-0.0681,1550,-0.0886,0.6563976174537834,-0.0576,3159
DM_20250924-032347_Interview,-0.0273,-0.0175,1589,-0.105,-0.0732,1339,-0.0645,0.6631855745639498,-0.043,2928
DM_20250924-041316_Interview,-0.0568,-0.0345,1150,-0.1054,-0.0744,1307,-0.0844,0.7024221020760544,-0.0557,2457
DM_20250924-084733_Interview,-0.0703,-0.0446,2194,-0.1361,-0.0959,1682,-0.1005,0.7002750437214762,-0.0669,3876
DM_20250924-091849_Interview,-0.044,-0.0273,1675,-0.1429,-0.1023,1431,-0.0931,0.720370682672108,-0.0619,3106
DM_20250924-173111_Interview,-0.0977,-0.0586,1134,-0.1145,-0.0778,1247,-0.107,0.7000405629965577,-0.0686,2381
DM_20251106-140348_Interview,-0.0237,-0.0151,1503,-0.1226,-0.0847,1244,-0.0704,0.7341085818791264,-0.0466,2747
DM_20251107-103322_Interview,-0.0484,-0.0308,2515,-0.1489,-0.1052,1388,-0.0865,0.7423444938894749,-0.0573,3903
