Episode,User_Mean,User_Density,User_WordCount,Asst_Mean,Asst_Density,Asst_WordCount,Overall_Mean,StandardDeviation,Density,WordCount
202601281419_session_transcript,0.0177,0.0115,835,-0.0085,-0.0057,531,0.0073,0.8297349934738929,0.0048,1366
202601281505_session_transcript,-0.0658,-0.0437,1538,-0.0683,-0.0489,1097,-0.0669,0.7326010055005832,-0.0459,2635
202601281658_session_transcript,-0.009,-0.0059,1600,-0.0468,-0.034,1139,-0.0257,0.749983830387477,-0.0176,2739
202601281716_session_transcript,-0.0178,-0.0124,1165,0.0102,0.0075,881,-0.0054,0.7574307434606165,-0.0038,2046
202601281732_session_transcript,0.0724,0.0467,1627,-0.006,-0.0043,944,0.0416,0.816811509514575,0.028,2571
202601281749_session_transcript,0.0036,0.0024,2106,-0.0172,-0.0126,1292,-0.0048,0.797431701507197,-0.0033,3398
202601281808_session_transcript,-0.0604,-0.0397,1667,-0.0617,-0.0441,1006,-0.0609,0.820125449617888,-0.0414,2673
202601281828_session_transcript,0.085,0.0562,1705,0.1048,0.0765,1191,0.0936,0.9040492744632371,0.0645,2896
202601281847_session_transcript,-0.0317,-0.0207,1614,-0.0086,-0.0062,1318,-0.0208,0.7192355028076203,-0.0142,2932
202601281904_session_transcript,-0.0013,-0.0008,1540,-0.0149,-0.011,929,-0.0068,0.7946809320620818,-0.0047,2469
202601281923_session_transcript,0.011,0.007,1688,-0.0174,-0.0126,1229,-0.0018,0.804558792241485,-0.0012,2917
202601281946_session_transcript,0.0828,0.0534,1283,-0.066,-0.0471,903,0.0176,0.873076183525671,0.0119,2186
202601282005_session_transcript,0.0134,0.009,1713,-0.0421,-0.0299,1085,-0.0089,0.7065011098114407,-0.0061,2798
202601282023_session_transcript,-0.041,-0.0271,1393,-0.022,-0.015,973,-0.0331,0.8385122117769397,-0.0221,2366
202601282045_session_transcript,0.0303,0.0195,1435,-0.0827,-0.0581,969,-0.0177,0.8447557642547303,-0.0118,2404
202601282101_session_transcript,0.0144,0.0092,2193,0.0113,0.0083,1715,0.0129,0.795468833039288,0.0088,3908
202601282127_session_transcript,0.0831,0.0554,1157,-0.0139,-0.0098,857,0.0405,0.8353278585387026,0.0276,2014
202601282146_session_transcript,0.0068,0.0043,1654,-0.0342,-0.0244,1059,-0.0103,0.7712423444785831,-0.0069,2713
202601282204_session_transcript,-0.0749,-0.0493,1206,-0.1165,-0.0834,848,-0.0929,0.7545697178934649,-0.0634,2054
202601282223_session_transcript,-0.0367,-0.0241,1091,-0.0291,-0.0207,895,-0.0331,0.8258283633937281,-0.0225,1986
202601282239_session_transcript,-0.0311,-0.0208,2039,-0.0225,-0.0157,1198,-0.0278,0.7807962377025462,-0.0189,3237
202601282304_session_transcript,-0.0347,-0.0223,2018,-0.0486,-0.0344,1341,-0.0406,0.7375627472909969,-0.0272,3359
202601282330_session_transcript,-0.0068,-0.0044,1168,-0.0394,-0.028,715,-0.0199,0.7352976765953878,-0.0134,1883
202601282344_session_transcript,-0.082,-0.0531,1053,-0.0634,-0.0433,875,-0.0733,0.7575506920117971,-0.0487,1928
202601290002_session_transcript,-0.0557,-0.0381,1339,-0.0244,-0.0177,971,-0.0421,0.7814812432097789,-0.0295,2310
202601290019_session_transcript,0.083,0.0533,1355,0.0389,0.0294,1046,0.062,0.8329623523203962,0.0429,2401
202601290039_session_transcript,-0.0779,-0.0508,1156,-0.0669,-0.0456,855,-0.0731,0.7925955940438161,-0.0486,2011
202601290056_session_transcript,0.0281,0.0176,1867,0.0362,0.0261,1145,0.0315,0.8174447915362538,0.0209,3012
202601290115_session_transcript,0.049,0.0325,1720,-0.0583,-0.0426,1250,0.0013,0.8322022349137329,0.0009,2970
202601290137_session_transcript,-0.051,-0.0341,1581,-0.0405,-0.0286,1109,-0.0465,0.7491856996904974,-0.0318,2690
202601290157_session_transcript,-0.0439,-0.0291,1469,-0.0795,-0.0556,973,-0.0585,0.7993828716248778,-0.0397,2442
202601290214_session_transcript,-0.0017,-0.0011,1133,-0.0641,-0.0462,897,-0.0303,0.7831272112890901,-0.021,2030
202601290229_session_transcript,-0.0296,-0.0189,1700,-0.0016,-0.0011,1137,-0.0177,0.758023134022166,-0.0118,2837
202601290249_session_transcript,-0.0507,-0.0336,1285,-0.0714,-0.0497,834,-0.0591,0.7201618889988389,-0.0399,2119
202601290305_session_transcript,-0.0807,-0.0531,1539,-0.044,-0.0319,1290,-0.0631,0.8337860813652401,-0.0434,2829
202601290329_session_transcript,-0.0661,-0.0444,1650,-0.0208,-0.0146,1075,-0.0478,0.7860797770685504,-0.0326,2725
202601290349_session_transcript,-0.0582,-0.0386,1949,-0.0676,-0.0501,1243,-0.0621,0.7515511700489294,-0.0431,3192
202601290410_session_transcript,-0.0395,-0.0256,1550,-0.0258,-0.0189,992,-0.0338,0.7439460804957908,-0.023,2542
202601290428_session_transcript,0.0044,0.0029,1138,-0.0288,-0.0207,827,-0.0101,0.7995561778856163,-0.007,1965
202601290444_session_transcript,-0.017,-0.0108,1694,-0.0064,-0.0046,1161,-0.0124,0.7474331171681612,-0.0083,2855
202601290506_session_transcript,-0.0848,-0.0543,980,-0.0581,-0.0409,556,-0.0746,0.8499133225981015,-0.0494,1536
202601290520_session_transcript,-0.0912,-0.059,1119,-0.0283,-0.0202,799,-0.0635,0.7023017980746469,-0.0429,1918
202601290536_session_transcript,-0.1055,-0.0691,2517,-0.1065,-0.0777,1572,-0.1059,0.8257846852448784,-0.0724,4089
202601290600_session_transcript,-0.0106,-0.007,1671,-0.0243,-0.0175,1035,-0.0161,0.7336256161559263,-0.011,2706
202601290620_session_transcript,-0.0359,-0.0236,802,-0.1057,-0.0745,613,-0.0674,0.7908607559575117,-0.0456,1415
202601290633_session_transcript,-0.013,-0.0085,1187,-0.0817,-0.0564,719,-0.0397,0.8128839837142573,-0.0266,1906
202601290652_session_transcript,0.024,0.0157,1299,-0.0736,-0.053,891,-0.0179,0.7640848031645283,-0.0122,2190
202601290709_session_transcript,-0.0065,-0.0044,771,-0.0383,-0.0282,576,-0.0208,0.7684033436595754,-0.0146,1347
202601290722_session_transcript,-0.0933,-0.0621,1051,-0.0722,-0.0519,708,-0.0844,0.9186685159953647,-0.058,1759
202601290735_session_transcript,-0.0826,-0.0529,1218,-0.0792,-0.0535,832,-0.0812,0.7496411586314029,-0.0531,2050
202601290753_session_transcript,0.0392,0.0252,1570,-0.0408,-0.0294,1088,0.0043,0.8445796386028109,0.0029,2658
202601290812_session_transcript,0.0123,0.0081,1435,-0.0058,-0.0041,901,0.0051,0.791086079148311,0.0034,2336
202601290830_session_transcript,0.068,0.0459,1666,0.0171,0.0126,1076,0.0469,0.8669634861565596,0.0329,2742
202601290846_session_transcript,0.0356,0.0224,909,0.0284,0.0204,718,0.0322,0.8828218956458813,0.0215,1627
202601290900_session_transcript,0.0136,0.0089,1344,-0.0146,-0.0102,877,0.002,0.7879911282850972,0.0014,2221
202601290916_session_transcript,-0.0186,-0.0127,1195,-0.0359,-0.0256,929,-0.0263,0.8068219298617625,-0.0183,2124
202601290932_session_transcript,0.0392,0.0258,2054,-0.0203,-0.015,1485,0.0126,0.8060333299200736,0.0087,3539
202601290955_session_transcript,-0.0131,-0.0085,1722,-0.0578,-0.0415,1168,-0.0323,0.796331201320885,-0.0218,2890
202601291016_session_transcript,0.0124,0.0081,1567,0.0201,0.0147,1016,0.0156,0.7852402998778364,0.0107,2583
202601291034_session_transcript,0.0054,0.0036,796,0.0061,0.0044,661,0.0057,0.8319126245241466,0.004,1457
202601291050_session_transcript,0.0132,0.0088,1623,-0.0045,-0.0032,982,0.0062,0.8613107363660435,0.0043,2605
202601291107_session_transcript,-0.0454,-0.0285,1892,-0.0572,-0.0412,1195,-0.0504,0.7601794945944517,-0.0334,3087
202601291130_session_transcript,-0.0607,-0.0408,1271,-0.0358,-0.0252,906,-0.0501,0.8196596919100019,-0.0343,2177
