Episode,User_Mean,User_Density,User_WordCount,Asst_Mean,Asst_Density,Asst_WordCount,Overall_Mean,StandardDeviation,Density,WordCount
00e10f8e-2d92-4aa1-a57a-547f9dbeb5e5,-0.0594,-0.0347,2450,-0.0579,-0.04,2141,-0.0586,0.6780659695660974,-0.0372,4591
044a8a6f-dd81-4394-a724-7752951369d4,-0.0222,-0.0143,1995,0.0479,0.0332,861,0.0,0.7158274419675117,0.0,2856
0466b974-fa46-4afe-bda7-3ed85d5f518a,-0.0595,-0.0376,2824,-0.0046,-0.0031,1448,-0.0398,0.7883672965141589,-0.0259,4272
083cd1a1-084f-453b-9094-67c3ae4ef51c,-0.0432,-0.0256,2588,-0.104,-0.075,1647,-0.0697,0.6998222807375923,-0.0448,4235
1060f15d-7948-4073-b01d-8d6b151ee504,-0.0489,-0.031,2094,-0.0549,-0.038,1236,-0.0512,0.738382394472706,-0.0336,3330
11918025-d330-4ef0-90f9-2163b913c86e,-0.0703,-0.0444,2018,-0.0796,-0.0548,1237,-0.074,0.6638370927594136,-0.0484,3255
12736e55-7614-43e5-b056-91d024e3f01c,-0.0244,-0.0153,1664,-0.0211,-0.0147,977,-0.0231,0.7447152655465699,-0.015,2641
1280a660-77be-40bf-a38f-8a7802eb4867,-0.0744,-0.0439,2315,-0.0782,-0.0536,1358,-0.076,0.6584318763832332,-0.0475,3673
15a5ddd5-7ccc-4481-9dc8-d60a6b846bcb,-0.0156,-0.0096,3379,0.0687,0.049,1933,0.0179,0.7923855249989696,0.0117,5312
17eeec1e-9089-4fb3-b100-5c416a9dd8c3,-0.0628,-0.0368,4240,-0.093,-0.062,2791,-0.0757,0.6375816376772335,-0.0468,7031
197ed344-fe12-4c30-921d-f10ae94fa96f,-0.0435,-0.027,2226,-0.0239,-0.0167,1261,-0.0358,0.701035213817838,-0.0233,3487
1a0c3757-c643-4c43-8e71-88b9bfe15283,-0.1177,-0.0745,1932,0.0289,0.0203,932,-0.0665,0.773484633144313,-0.0436,2864
1aff6af5-314f-44c1-9b2f-3b38c3333292,-0.0478,-0.0308,3327,0.0064,0.0046,1749,-0.0277,0.7375270379841091,-0.0186,5076
1b8b152a-208c-411d-97bf-8c708f21ddd4,-0.0575,-0.0359,3726,-0.0559,-0.039,2675,-0.0568,0.62286773029322,-0.0372,6401
1bbff631-8527-4531-a16d-36d507cf04aa,-0.0686,-0.0437,2415,-0.0627,-0.0449,1082,-0.0666,0.7799453773914883,-0.0441,3497
1c4f1364-4f24-4e48-8f48-42fb36f76ef1,-0.0382,-0.0239,3505,-0.1192,-0.0844,2400,-0.0737,0.6587643396489218,-0.0485,5905
1c666ef5-ed35-40ac-b787-2cb8cc8402f8,-0.0424,-0.0267,3056,-0.0741,-0.0522,2133,-0.0563,0.628616473918368,-0.0372,5189
1cfb5d23-872f-43f9-91db-7d2d959dd184,-0.0506,-0.0299,3084,-0.0419,-0.028,2000,-0.0469,0.6376818103127668,-0.0292,5084
1daa8659-751a-4eb0-bdff-5af3c6496f49,-0.0506,-0.0299,3464,-0.0276,-0.0191,2648,-0.0397,0.7058831982414123,-0.0253,6112
1e91091d-f420-4e28-9c2c-4679177bb063,-0.1297,-0.0837,2274,-0.1058,-0.0759,1325,-0.1203,0.6739771816376762,-0.0808,3599
1f49b91e-f1f2-4df3-b50c-7dbcf4d8b67a,-0.0806,-0.0506,2720,-0.0457,-0.0322,1611,-0.0667,0.66071974729066,-0.0438,4331
1f8c766d-8e36-4d68-818e-95adfe69f954,-0.0725,-0.0452,1621,-0.0372,-0.0262,577,-0.0624,0.7501255061269992,-0.0402,2198
1f978a3a-db12-413b-9e46-0d1b7032d744,-0.0247,-0.0156,2792,-0.0981,-0.071,1681,-0.0546,0.6347852980197083,-0.0364,4473
223d8b8e-f8bd-4e38-abbd-fb482ea582a4,-0.0732,-0.0456,1800,0.0537,0.0377,680,-0.0353,0.7778652014405928,-0.0227,2480
2427edbb-e315-4a4b-82b2-37c8196ab780,-0.0152,-0.0095,4930,0.0794,0.056,3159,0.0246,0.7626936379327893,0.0161,8089
24fd953a-fffb-41d9-982a-4ee2e38192bd,-0.0408,-0.026,1302,0.0381,0.0263,615,-0.0141,0.750204796498565,-0.0092,1917
257325cd-7b42-4326-992f-06b3d0ba62da,-0.0046,-0.0029,1918,0.049,0.0352,830,0.0131,0.7551147326550771,0.0086,2748
28b0e25b-0162-4a9a-b004-43d4d10bd8d4,0.0018,0.0012,2129,-0.0108,-0.0075,942,-0.0022,0.7566889769435843,-0.0015,3071
2ada0f89-2c37-405a-8b1f-d228ec3e3a90,-0.0292,-0.0186,2859,0.0182,0.0126,1336,-0.0132,0.6710199856844957,-0.0087,4195
2b9d1375-9374-47d8-90e7-98b31581284a,-0.042,-0.0248,2681,-0.1244,-0.0845,1883,-0.0788,0.6960957989866409,-0.0494,4564
2bd4076c-3593-45fb-9499-85bfe733fe60,-0.0062,-0.0041,1310,0.0209,0.0146,483,0.0015,0.7739308866731289,0.001,1793
2d2a1982-10dc-4429-abab-bdffc702c29f,-0.062,-0.0382,1882,-0.0733,-0.0483,1173,-0.0665,0.6744435924657188,-0.0421,3055
2f939434-0717-4fd6-aefc-977f80c78e47,-0.0179,-0.0109,3470,-0.096,-0.0668,1800,-0.047,0.6324439207854637,-0.03,5270
328b31e6-a1f1-4549-8eeb-d6f9aea49979,-0.0365,-0.0235,1477,-0.0929,-0.0665,815,-0.0579,0.6212288348446635,-0.0388,2292
32aa2776-7f6e-43e0-9674-480fd8cf454c,-0.0488,-0.0295,5084,-0.1035,-0.0728,3247,-0.0722,0.6512694741266302,-0.0464,8331
34757ce0-6490-4cbb-8734-b779aa9384d8,-0.091,-0.0578,2369,-0.0182,-0.0128,1370,-0.0626,0.8042293805513955,-0.0413,3739
37ba7327-88b7-4ce6-b35e-0bef00ea315e,-0.0623,-0.0388,3009,-0.05,-0.035,1733,-0.0575,0.7232893333161944,-0.0374,4742
3822493c-021b-4cce-ba18-8fe417de9f92,-0.0281,-0.0183,1715,-0.0327,-0.0235,780,-0.0296,0.718754430276666,-0.0199,2495
392e4f26-3e88-44e1-a0a5-56bfdf8b9ea8,-0.0687,-0.0449,2196,-0.0546,-0.0375,1158,-0.0637,0.6480486199996419,-0.0423,3354
397dc6bb-7480-4d97-8bc6-40bca6ca51e1,-0.0173,-0.011,3643,0.0844,0.0613,2023,0.0222,0.7120571813735598,0.0148,5666
3b41a636-2ece-4693-931c-dee9a9877bf5,-0.0058,-0.0037,2848,0.0194,0.0139,1265,0.0026,0.7550364138699737,0.0017,4113
3c0cd5e0-7409-428b-8e0d-ae77df7d566a,-0.0449,-0.0298,1667,-0.0083,-0.0059,874,-0.0317,0.6522390785445304,-0.0216,2541
3d86e973-b22f-4ae5-b422-8d7cff664afd,-0.0153,-0.0096,1777,-0.0046,-0.0033,744,-0.0119,0.7170650863194881,-0.0078,2521
3d98fcb5-ceee-45a8-b6f3-c33c59fadcc7,0.01,0.0064,3132,0.0265,0.0189,1450,0.0156,0.7768858487416727,0.0103,4582
40767d25-f969-4409-9a69-65be2668fb7d,-0.0687,-0.0437,1792,-0.087,-0.0627,802,-0.0748,0.6992414134119531,-0.0496,2594
40fc4068-6ea5-44c3-916f-689fec8f7088,-0.0891,-0.0528,2791,0.0172,0.0118,1432,-0.0495,0.796562980407437,-0.0309,4223
42e7b1a7-379e-477d-95ae-08fee05e95cc,-0.0721,-0.0481,1575,-0.0008,-0.0005,706,-0.0496,0.7699370936796321,-0.0334,2281
451b2f76-e054-4e39-8be6-220b1fe1d2de,-0.0724,-0.0457,2124,-0.0559,-0.0397,974,-0.0668,0.7196572670164727,-0.0438,3098
4566f595-bfe8-427f-ad58-d8d76041b790,-0.1042,-0.0637,2533,-0.0712,-0.0491,1558,-0.0907,0.6555772457638663,-0.0581,4091
4699246a-fb12-4795-8d9e-9c54d2e4ce95,-0.1114,-0.069,1539,-0.0831,-0.0581,749,-0.1014,0.7571401605172474,-0.0654,2288
46e167d4-f5e5-44a9-bd2d-75d652436b19,-0.0826,-0.0526,1561,-0.0113,-0.0077,777,-0.0577,0.7115990014214675,-0.0377,2338
47d2bd80-1874-48c6-b97d-68573aa4c1cd,-0.0143,-0.0091,3602,0.0514,0.0368,2363,0.0135,0.7135502945772972,0.009,5965
489fe6e1-47ca-499c-b0c2-375201aeca6c,-0.0412,-0.0265,1855,-0.052,-0.036,888,-0.0449,0.7043989120346643,-0.0296,2743
48e619d8-a15b-4e1f-b742-2fd262ec0760,-0.0727,-0.0474,2486,0.0024,0.0016,1126,-0.0484,0.6992915894521919,-0.0321,3612
49a2c55e-e12e-4035-b1df-3cf66a03a477,-0.0362,-0.0223,151,0.0,0.0,9,-0.034,0.7554332709924048,-0.0211,160
4b886990-a22e-40a9-a49e-6cf5f18fcf3c,-0.0682,-0.0429,2142,0.0346,0.0245,1457,-0.0236,0.7903012504126911,-0.0156,3599
4d3ca1be-429c-45d0-8c46-de7c025c4dda,-0.0639,-0.0403,2664,-0.0707,-0.0493,1323,-0.0663,0.7073589419582815,-0.0433,3987
4df8b2de-195c-4bdb-951b-f7ac8dc2d8bb,-0.0389,-0.0245,2471,0.0279,0.0194,1172,-0.0159,0.8264746983849391,-0.0104,3643
4f633798-ee7d-4604-b541-82c33f61857f,-0.0915,-0.0555,2244,0.0264,0.018,1150,-0.0484,0.8123301789829874,-0.0306,3394
4fd3391c-0821-442b-a192-68b2aedd7fda,-0.0013,-0.0008,2357,0.0353,0.024,1430,0.0134,0.7152240753536044,0.0086,3787
51fd8634-d888-420e-aa04-d7b1f4001b6a,-0.0683,-0.0437,1812,0.027,0.0191,888,-0.0348,0.7649876167881601,-0.023,2700
523d033a-68eb-4d81-895e-4ebf3f450cba,-0.0667,-0.0429,3248,-0.047,-0.0322,1752,-0.0595,0.6512528590709272,-0.0392,5000
536aa315-1b8e-4159-9a8c-3d32cf042a3c,-0.0363,-0.0215,3542,-0.0637,-0.0441,2295,-0.0481,0.6971078974562789,-0.0304,5837
588dfa23-9259-489c-9331-4056b40f0dee,-0.0622,-0.0376,1193,0.0562,0.038,586,-0.0202,0.7790307630085886,-0.0127,1779
59f38a32-0672-45a6-a9ba-ba870a7c7730,-0.0795,-0.05,2032,0.0134,0.009,1098,-0.0454,0.7467093141297793,-0.0293,3130
5b2e3ea0-5242-4c0a-8f49-33ec35ee7c8b,-0.0605,-0.0375,3585,-0.0203,-0.014,1973,-0.0452,0.6971226595393788,-0.0291,5558
5b3468ea-43a9-49db-84d1-6c19704ecf23,-0.0109,-0.0066,1171,0.0425,0.0295,557,0.0079,0.7430657435241348,0.005,1728
5b8c73cd-7f7b-4fa2-9ee1-f8b4a82a8541,-0.0508,-0.0311,3676,-0.1046,-0.0712,2637,-0.0747,0.6787835816932558,-0.0478,6313
5d2b3fae-dd92-4c2f-877a-9316556e25f6,-0.0661,-0.043,2092,-0.0001,-0.0,1447,-0.0383,0.6938775199472362,-0.0255,3539
5e041bc4-4cfb-42fe-9883-1806ea29be81,-0.0289,-0.0184,2808,0.0438,0.0318,1413,-0.0024,0.75844781149032,-0.0016,4221
5e43237a-4967-4a9b-9eda-09ce75bfd14a,-0.0764,-0.0491,1864,-0.1463,-0.1018,1411,-0.1079,0.6995183561096506,-0.0718,3275
61b9198c-3202-4a07-bee0-2cfc10dbee6b,-0.0324,-0.0203,2048,-0.0163,-0.0112,906,-0.0272,0.7999984267959835,-0.0175,2954
651885f6-6940-47b9-81b1-03e601836737,-0.014,-0.0088,2721,-0.0037,-0.0026,1531,-0.0101,0.710657161237495,-0.0065,4252
6547755f-a2cc-44cc-8089-51b40be69860,0,0,0,0,0,0,0,0,0,0
65b8d55b-92f2-433c-9f6c-709b9bbfd30c,-0.0609,-0.0383,2201,0.0214,0.0152,1132,-0.0307,0.7845068511369662,-0.0201,3333
65dc344f-4d7b-4143-ad16-ee2845e0eb90,-0.0185,-0.0108,2546,-0.1051,-0.074,1698,-0.0572,0.7031292147242358,-0.0361,4244
671588c7-edf4-422f-a38e-f6d0dc7a52e9,-0.0476,-0.0306,2211,-0.0163,-0.0114,1247,-0.0358,0.8354930052794004,-0.0237,3458
67b5679a-ecf5-4d0c-85d8-c38581186d81,-0.0081,-0.0049,3256,0.0549,0.0388,1930,0.0177,0.767663286669313,0.0114,5186
68249aee-fad2-4e1f-b2f2-224d5a5e67d0,-0.034,-0.0223,1602,-0.0094,-0.0066,740,-0.0259,0.7907267624906014,-0.0174,2342
6a58a995-e323-457a-9aa3-207b7a3c9d36,-0.0789,-0.0489,2014,-0.1237,-0.0854,1100,-0.0959,0.7744120377265667,-0.0618,3114
6d109d4d-4eb1-4212-b941-3187d2d29722,-0.0098,-0.0062,2508,-0.0131,-0.0092,1314,-0.0111,0.7210656229492134,-0.0073,3822
6e95be7f-f46a-42ab-8739-486fff7cf62e,-0.0232,-0.0146,1683,0.0914,0.065,710,0.0137,0.7810293816954674,0.009,2393
6ea7bf82-0259-4f7f-8260-aba16def5f8f,-0.0922,-0.0584,2629,-0.0746,-0.0517,1459,-0.0856,0.740218060905379,-0.0561,4088
6ed52455-c245-4fc7-9e53-628c235a2a2d,-0.119,-0.0777,1678,-0.0948,-0.0658,845,-0.1106,0.693518807516114,-0.0737,2523
6f08182a-cf49-46b1-ad60-fd1b798b54b7,-0.0503,-0.0326,1673,-0.0108,-0.0075,867,-0.0363,0.7234238648886318,-0.024,2540
700a7c1c-0d6c-4b43-8b3d-c92a4dd1d4e4,-0.0866,-0.0508,2494,-0.1212,-0.0845,1162,-0.0989,0.7315600152287035,-0.0615,3656
7463b5ea-3ad6-4aca-a79c-3240936f4249,-0.0192,-0.0117,4480,-0.0267,-0.0185,2476,-0.0221,0.7386050821282952,-0.0141,6956
749e2bd9-38a5-46e3-9270-0d9ef098bd09,-0.0537,-0.0342,2214,-0.0684,-0.0486,1569,-0.0602,0.6168511455324905,-0.0402,3783
74cf14fd-d7f9-4b26-acc3-b22d42a72284,-0.0951,-0.061,2239,0.001,0.0007,1231,-0.0591,0.7611390308479818,-0.0391,3470
74f65c40-2556-45cc-bb06-1a6b2d0f877f,-0.0808,-0.052,2472,-0.0571,-0.0398,1123,-0.073,0.7330658077529547,-0.0482,3595
77bf3dd2-dfe5-4da8-a5a8-cf6b55dbf711,-0.0283,-0.0163,2684,-0.1198,-0.0826,1755,-0.0685,0.675500012758768,-0.0425,4439
7954bcf3-7216-420f-b9ce-79033f5e20bb,-0.0663,-0.0395,2764,-0.0577,-0.0398,1895,-0.0625,0.7020452883150079,-0.0396,4659
7d501aeb-150d-480a-9d8a-96f7ff9c6de4,-0.0372,-0.0236,1763,0.0243,0.0167,1183,-0.0113,0.712353958444089,-0.0074,2946
7dc48b84-840d-4ae6-8d3b-233981f4978d,-0.1113,-0.0658,3642,-0.0733,-0.0502,2315,-0.0952,0.7279857984268444,-0.0597,5957
7e51fafb-2ed0-4c61-8e9a-71bd9dfb5784,-0.0731,-0.0452,1048,-0.088,-0.0602,482,-0.0781,0.8014812684787462,-0.0499,1530
7f578df8-e2e1-4a0d-8ef6-5114dd0c4744,-0.0894,-0.0562,2590,-0.0173,-0.0122,1216,-0.0645,0.7197528341990624,-0.0422,3806
7ff50ce4-500e-4f3e-9b46-5de811dcbb99,-0.0523,-0.0308,2243,-0.1519,-0.1061,1194,-0.0908,0.6665103976697355,-0.0569,3437
838df54b-447d-4972-b305-8c5375824364,-0.0581,-0.035,4315,-0.0835,-0.0573,2710,-0.0687,0.6582312617606398,-0.0436,7025
86a5c2fc-8790-4b9c-af2a-3428dfa6a833,-0.0983,-0.059,2538,-0.0044,-0.003,1393,-0.0621,0.7713129979725665,-0.0392,3931
89dfb0c2-ae71-47af-9501-2aa4bf1a44c6,-0.0351,-0.0223,1821,0.121,0.0859,1420,0.0376,0.84119511562611,0.0251,3241
8b1cd2e6-0016-4d90-b68c-83aab41431d3,-0.1033,-0.063,1343,-0.0738,-0.0486,633,-0.0933,0.689298260193537,-0.0584,1976
8c6a5d23-fb8a-4681-a785-8db2970d249f,-0.0673,-0.0433,2074,0.0571,0.0412,1096,-0.021,0.7323102029661885,-0.0141,3170
8f899a7b-d890-4f6c-8533-3dd633264faf,-0.0628,-0.0405,2982,-0.1416,-0.1001,1753,-0.0937,0.6226860199881181,-0.0625,4735
91da404e-c7e9-4039-92e5-944908fc73cc,-0.0194,-0.0117,3226,-0.0985,-0.0684,2166,-0.0539,0.6529859609441513,-0.0344,5392
94bf2c5f-94e2-4981-8864-4d89cb56deb7,-0.045,-0.0289,2557,-0.0186,-0.0129,1684,-0.0341,0.755963870319272,-0.0225,4241
94e4cab8-cc08-494d-8151-6984a4891871,-0.0415,-0.0264,2207,0.014,0.0099,1211,-0.0205,0.6847013631666505,-0.0136,3418
977e0c4d-159a-4902-b588-4a77b79e21de,-0.058,-0.0365,2487,-0.0959,-0.0685,1399,-0.0728,0.7449187841974216,-0.048,3886
99220e2c-cac2-42f8-b0f5-1131b498ac37,-0.0564,-0.0357,2228,0.0208,0.0149,1198,-0.0272,0.7905355124946588,-0.018,3426
9b458d59-afae-45cd-ae69-1af5f47d2957,-0.0189,-0.0119,2707,-0.0524,-0.0358,1916,-0.0334,0.6280034591394121,-0.0218,4623
9c6347e3-a61f-4d70-9d05-38bef1c4540f,-0.0702,-0.044,2021,0.0066,0.0046,1299,-0.0382,0.7292757747018068,-0.025,3320
9e136695-a579-43f5-bb36-05b5a44af8e8,-0.0681,-0.0419,2454,-0.112,-0.0779,1331,-0.0848,0.7060816808992225,-0.0545,3785
9ed5fdb0-244e-4b24-8224-1d5617a14864,-0.0276,-0.0182,2181,-0.05,-0.0358,951,-0.0348,0.69643408491458,-0.0235,3132
a0a56d53-81c5-4176-8f33-50c8a1ca0e4f,-0.0282,-0.0175,2553,0.0364,0.0251,1616,-0.0015,0.7749441906935863,-0.001,4169
a90c38ea-af2e-497d-a28e-e1cb956d19ea,-0.1134,-0.0724,1767,-0.0421,-0.0292,888,-0.0882,0.7097754980880566,-0.0579,2655
abb93ab4-98c2-48e6-9df1-8161bae8233b,-0.0752,-0.0442,3603,-0.0897,-0.0645,2067,-0.0812,0.6885954661636601,-0.0516,5670
aec5baa7-f0bb-4454-80d9-0545bd3223d3,-0.0434,-0.0273,3656,-0.0257,-0.0184,2012,-0.0366,0.7231609124196535,-0.0242,5668
afd6dd88-2696-4750-b980-052604e91cd0,-0.0613,-0.0384,2980,-0.0074,-0.0052,1371,-0.0431,0.7492384633834288,-0.028,4351
b1e67cfb-4e85-49cb-b510-acea1c2ce092,-0.0854,-0.0548,1646,-0.0457,-0.0316,869,-0.071,0.7869865642803624,-0.0468,2515
b22daa6f-b300-4cc6-8e1c-ecc60ac9d98e,-0.0815,-0.0486,2900,-0.0469,-0.032,1584,-0.0682,0.7279287621803797,-0.0427,4484
b5ff575f-0cc1-4b07-8d02-a1323ee3b04e,-0.1522,-0.1,370,-0.1251,-0.0988,57,-0.148,0.7073694507653784,-0.0998,427
b6d03a37-364d-48d3-84b5-605cc77e2755,-0.0706,-0.044,2493,-0.0244,-0.0165,1849,-0.05,0.7185880414301213,-0.0323,4342
